velocity,timing,articulation,id
0.0,0.0,0.0,p0n116
0.0,0.0,0.0,p0n118
0.0,0.0,0.0,p0n117
0.0,0.0,0.0,p0n121
0.0,0.0,0.0,p0n122
0.0,0.0,0.0,p0n120
0.0,0.0,0.0,p0n119
0.0,0.0,0.0,p0n125
0.0,0.0,0.0,p0n124
0.0,0.0,0.0,p0n123
0.0,0.0,0.0,p0n127
0.0,0.0,0.0,p0n126
0.0,0.0,0.0,p0n130
0.0,0.0,0.0,p0n129
0.0,0.0,0.0,p0n128
0.0,0.0,0.0,p0n134
0.0,0.0,0.0,p0n133
0.0,0.0,0.0,p0n132
0.0,0.0,0.0,p0n131
0.0,0.0,0.0,p0n137
0.0,0.0,0.0,p0n136
0.0,0.0,0.0,p0n135
0.0,0.0,0.0,p0n139
0.0,0.0,0.0,p0n138
0.0,0.0,0.0,p0n142
0.0,0.0,0.0,p0n141
0.0,0.0,0.0,p0n140
0.0,0.0,0.0,p0n146
0.0,0.0,0.0,p0n145
0.0,0.0,0.0,p0n144
0.0,0.0,0.0,p0n143
0.0,0.0,0.0,p0n148
0.0,0.0,0.0,p0n147
0.0,0.0,0.0,p0n150
0.0,0.0,0.0,p0n149
0.0,0.0,0.0,p0n152
0.0,0.0,0.0,p0n151
0.0,0.0,0.0,p0n155
0.0,0.0,0.0,p0n154
0.0,0.0,0.0,p0n153
0.0,0.0,0.0,p0n157
0.0,0.0,0.0,p0n156
0.0,0.0,0.0,p0n160
0.0,0.0,0.0,p0n159
0.0,0.0,0.0,p0n158
0.0,0.0,0.0,p0n163
0.0,0.0,0.0,p0n162
0.0,0.0,0.0,p0n161
0.0,0.0,0.0,p0n166
0.0,0.0,0.0,p0n167
0.0,0.0,0.0,p0n165
0.0,0.0,0.0,p0n169
0.0,0.0,0.0,p0n168
0.0,0.0,0.0,p0n172
0.0,0.0,0.0,p0n171
0.0,0.0,0.0,p0n170
0.0,0.0,0.0,p0n175
0.0,0.0,0.0,p0n174
0.0,0.0,0.0,p0n173
0.0,0.0,0.0,p0n179
0.0,0.0,0.0,p0n180
0.0,0.0,0.0,p0n178
0.0,0.0,0.0,p0n176
0.0,0.0,0.0,p0n177
0.0,0.0,0.0,p0n182
0.0,0.0,0.0,p0n181
0.0,0.0,0.0,p0n183
0.0,0.0,0.0,p0n185
0.0,0.0,0.0,p0n184
